time, temp
1558991082129,1558991082651,77.35
1558991083651,77.35
1558991084654,76.47
1558991085653,77.35
1558991086653,77.35
1558991087656,77.35
1558991088656,78.23
1558991089656,79.99
1558991090659,80.87
1558991091658,81.75
1558991092662,82.63
1558991093661,82.63
1558991094661,83.50
1558991095664,82.63
1558991096663,82.63
1558991097662,82.63
1558991098666,81.75
1558991099665,81.75
1558991100668,81.75
1558991101668,80.87
1558991102667,80.87
1558991103670,80.87
